group,subject,task,task_number,frequency,tap,DT,period,relphase
French,FR01,sync,1,1,1,73.3333333333333,NaN,2.96573380852679
French,FR01,sync,1,1,2,73.3333333333333,0.836,1.93396443754988
French,FR01,sync,1,1,3,73.3333333333333,0.684,-0.0515221195188698
French,FR01,sync,1,1,4,73.3333333333333,0.941999999999999,-0.417120080380652
French,FR01,sync,1,1,5,73.3333333333333,1.046,-0.133097050871513
French,FR01,sync,1,1,6,73.3333333333333,1.03,0.0552699227340807
French,FR01,sync,1,1,7,73.3333333333333,0.972000000000001,-0.123101191544094
French,FR01,sync,1,1,8,73.3333333333333,1.058,0.238713299013023
French,FR01,sync,1,1,9,73.3333333333333,1.052,0.564342909166562
French,FR01,sync,1,1,10,73.3333333333333,0.923999999999999,0.0879294225314977
French,FR01,sync,1,1,11,73.3333333333333,1.014,0.173381238230519
French,FR01,sync,1,1,12,73.3333333333333,1.048,0.473562747062516
French,FR01,sync,1,1,13,73.3333333333333,0.977999999999998,0.332942232833934
French,FR01,sync,1,1,14,73.3333333333333,1,0.331685847049658
French,FR01,sync,1,1,15,73.3333333333333,1.004,0.355557176950972
French,FR01,sync,1,1,16,73.3333333333333,1.036,0.58033418870792
French,FR01,sync,1,1,17,73.3333333333333,0.981999999999999,0.464862740183263
French,FR01,sync,1,1,18,73.3333333333333,0.98,0.3379002094425
French,FR01,sync,1,1,19,73.3333333333333,0.989999999999998,0.272635715188546
French,FR01,sync,1,1,20,73.3333333333333,1.042,0.53511334283457
French,FR01,sync,1,1,21,73.3333333333333,0.954000000000001,0.316771816422271
French,FR01,sync,1,1.3,1,88.8888888888889,NaN,2.29697309981654
French,FR01,sync,1,1.3,2,88.8888888888889,0.594000000000001,0.865182700131238
French,FR01,sync,1,1.3,3,88.8888888888889,0.59,-0.602363049714012
French,FR01,sync,1,1.3,4,88.8888888888889,0.757999999999999,-0.694319749233319
French,FR01,sync,1,1.3,5,88.8888888888889,0.780000000000001,-0.628155796055777
French,FR01,sync,1,1.3,6,88.8888888888889,0.824000000000002,-0.163880680938431
French,FR01,sync,1,1.3,7,88.8888888888889,0.731999999999999,-0.468748163025857
French,FR01,sync,1,1.3,8,88.8888888888889,0.785999999999998,-0.334733104982283
French,FR01,sync,1,1.3,9,88.8888888888889,0.838000000000001,0.226965373622125
French,FR01,sync,1,1.3,10,88.8888888888889,0.800000000000001,0.475281238468741
French,FR01,sync,1,1.3,11,88.8888888888889,0.762,0.414742481295136
French,FR01,sync,1,1.3,12,88.8888888888889,0.799999999999997,0.663107157451203
French,FR01,sync,1,1.3,13,88.8888888888889,0.760000000000005,0.585886629942224
French,FR01,sync,1,1.3,14,88.8888888888889,0.731999999999999,0.276237855596601
French,FR01,sync,1,1.3,15,88.8888888888889,0.738,0.0301496415891545
French,FR01,sync,1,1.6,1,100,NaN,1.62451163742674
French,FR01,sync,1,1.6,2,100,0.481999999999999,0.180955736846779
French,FR01,sync,1,1.6,3,100,0.558,-0.492601728082874
French,FR01,sync,1,1.6,4,100,0.585999999999999,-0.886399462721118
French,FR01,sync,1,1.6,5,100,0.620000000000005,-0.938658841475601
French,FR01,sync,1,1.6,6,100,0.645999999999994,-0.729621326457528
French,FR01,sync,1,1.6,7,100,0.622,-0.761780944152622
French,FR01,sync,1,1.6,8,100,0.646000000000001,-0.554575997691571
French,FR01,sync,1,1.6,9,100,0.661999999999999,-0.184917801746875
French,FR01,sync,1,1.6,10,100,0.636000000000003,-0.076379092025892
French,FR01,sync,1,1.6,11,100,0.619999999999997,-0.130606666123069
French,FR01,sync,1,1.6,12,100,0.592000000000006,-0.464304480472953
French,FR01,sync,1,1.6,13,100,0.623999999999995,-0.474506154398239
French,FR01,sync,1,1.6,14,100,0.632000000000005,-0.407894664968784
French,FR01,sync,1,1.6,15,100,0.669999999999995,0.0334848094025624
French,FR01,sync,1,1.9,1,100,NaN,0.947729698689327
French,FR01,sync,1,1.9,2,100,0.393999999999998,-0.632615541946246
French,FR01,sync,1,1.9,3,100,0.543999999999997,-0.442511346889651
